Medicine, Cost, Composition, Dosage
Lisinopril,40, Chlorpromazine Hydrochloride, 6.25-50mg 2-3 times/day
Nateglinide,47, Fluoxetine Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Felodipine,88, Valproic Acid, 25-200mcg once/day
Acarbose,53, Captopril, 250-500mg every 8 hours (up to 3g/day)
Repaglinide,41, Simvastatin, 10mg once/day
Nateglinide,47, Cetirizine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Propranolol,49, Isradipine, 2.5-20mg once/day with meal
Aspirin,77, Donepezil Hydrochloride, 5-10mg once/day
Diltiazem,58, Warfarin Sodium, 75-300mg once/day
Ziprasidone,77, Baclofen, 2.5-30mg once every 2-4 weeks
Haloperidol,41, Warfarin Sodium, 150-300mg once/day
Hydrochlorothiazide,41, Nisoldipine, 75mg once/day
Lisinopril,21, Risperidone, 25-100mg once/day
Ramipril,47, Lamotrigine, 10mg once/day
Metoprolol,29, Metformin Hydrochloride, 40mg once/day
Paliperidone,28, Valsartan, 0.5-2mg 2-3 times/day
Montelukast,75, Warfarin Sodium, 25-800mg once/day
Verapamil,74, Alprazolam, 4-8mg once/day
Paliperidone,63, Duloxetine Hydrochloride, 37.5-225mg once/day
Carvedilol,62, Miglitol, 10-30mg 2-3 times/day
Ramipril,51, Glyburide, 10-40mg once/day
Clonazepam,53, Duloxetine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Metformin,93, Amlodipine Besylate, 500mg every 4-6 hours (up to 4g/day)
Glimepiride,35, Lisinopril, 2.5-20mg once/day with meal
Haloperidol,60, Montelukast Sodium, 250-500mg every 8 hours (up to 3g/day)
Captopril,69, Clopidogrel Bisulfate, 6.25-50mg 2-3 times/day
Ranitidine,70, Lithium Carbonate, 8-32mg once/day
Lercanidipine,61, Losartan Potassium, 0.2-0.3g before each meal
Doxycycline,37, Ibuprofen, 12.5-150mg 3 times/day
Pantoprazole,35, Olanzapine, 12.5-150mg 3 times/day
Pregabalin,43, Paliperidone, 10-80mg once/day
Clopidogrel,66, Glibenclamide, 12.5-150mg 3 times/day
Venlafaxine,79, Verapamil Hydrochloride, 500-2000mg/day
Warfarin,61, Valproic Acid, 25-800mg once/day
Haloperidol,57, Pioglitazone Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Alprazolam,78, Nifedipine, 0.25-2mg 2-3 times/day
Glimepiride,62, Losartan Potassium, 1-4mg once/day
Enalapril,71, Clopidogrel Bisulfate, 1-100mg/day
Donepezil,54, Voglibose, 10-40mg once/day
Voglibose,46, Ranitidine Hydrochloride, 500-2000mg/day
Quetiapine,43, Donepezil Hydrochloride, 15-45mg once/day
Nisoldipine,58, Risperidone, 75mg once/day
Benazepril,55, Atorvastatin Calcium, 10-40mg once/day
Nisoldipine,64, Aripiprazole, 25-800mg/day
Acarbose,75, Isradipine, 0.5-4mg before each meal
Lisinopril,46, Pregabalin, 10-40mg once/day
Cetirizine,57, Donepezil Hydrochloride, 8-32mg once/day
Rosiglitazone,75, Lamotrigine, 100mg every 12 hours (up to 200mg/day)
Levothyroxine,37, Atorvastatin Calcium, 10-40mg once/day
Lithium Carbonate,62, Felodipine, 500-2000mg/day
Ziprasidone,69, Haloperidol, 30-120mg 2-3 times/day
Gabapentin,93, Simvastatin, 25-100mg before each meal
Acarbose,10, Glyburide, 400-600mg every 4-6 hours (up to 3.2g/day)
Pioglitazone,34, Pregabalin, 40mg once/day
Trazodone,90, Rosiglitazone Maleate, 250-500mg every 8 hours (up to 3g/day)
Amlodipine,45, Acetaminophen, 0.5-2mg 2-3 times/day
Telmisartan,33, Valproic Acid, 5-40mg once/day
Ranitidine,56, Ranitidine Hydrochloride, 10-80mg 2-3 times/day
Trazodone,54, Verapamil Hydrochloride, 1-100mg/day
Verapamil,82, Fluphenazine Decanoate, 37.5-225mg once/day
Simvastatin,38, Fluphenazine Decanoate, 75-150mg 2-3 times/day
Isradipine,77, Olanzapine, 10-20mg once/day
Venlafaxine,78, Nateglinide, 150-300mg once/day
Cetirizine,40, Aripiprazole, 25-800mg/day
Felodipine,64, Venlafaxine Hydrochloride, 2-6mg once/day
Pregabalin,54, Doxycycline Hyclate, 12.5-25mg once/day
Amlodipine,38, Risperidone, 2.5-10mg once/day
Isradipine,49, Acetaminophen, 40-160mg once/day
Haloperidol,55, Simvastatin, 2.5-20mg once/day
Trazodone,56, Donepezil Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Pioglitazone,75, Montelukast Sodium, 10-80mg 2-3 times/day
Thioridazine,21, Duloxetine Hydrochloride, 600-1800mg/day
Amlodipine,61, Olanzapine, 10-80mg once/day
Glibenclamide,63, Montelukast Sodium, 2.5-20mg once/day
Donepezil,60, Amoxicillin Trihydrate, 10mg once/day
Furosemide,42, Paliperidone, 12.5-150mg 3 times/day
Pioglitazone,79, Acetaminophen, 120mg before each meal
Pantoprazole,65, Isradipine, 2.5-10mg once/day
Voglibose,56, Alprazolam, 500mg every 4-6 hours (up to 4g/day)
Metoprolol,51, Miglitol, 120mg before each meal
Benazepril,66, Valproic Acid, 10mg once/day
Donepezil,71, Amoxicillin Trihydrate, 2.5-20mg once/day
Aspirin,65, Pantoprazole Sodium, 10-20mg once/day
Thioridazine,47, Baclofen, 10-40mg once/day
Benazepril,68, Telmisartan, 10mg once/day
Propranolol,78, Voglibose, 2.5-20mg once/day
Acarbose,52, Venlafaxine Hydrochloride, 80-120mg 2-3 times/day
Irbesartan,102, Venlafaxine Hydrochloride, 10-40mg once/day
Aripiprazole,79, Montelukast Sodium, 4-8mg once/day
Ranitidine,39, Baclofen, 40-60mg once/day
Cetirizine,59, Atorvastatin Calcium, 250-500mg every 8 hours (up to 3g/day)
Metformin,28, Aripiprazole, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Nateglinide,68, Thioridazine Hydrochloride, 2.5-20mg once/day with meal
Simvastatin,66, Doxycycline Hyclate, 10-30mg 2-3 times/day
Montelukast,57, Isradipine, 2.5-10mg once/day
Valproic Acid,57, Lisinopril, 80-120mg 2-3 times/day
Diltiazem,63, Benazepril Hydrochloride, 10mg once/day
Lamotrigine,55, Lisinopril Dihydrate, 0.2-0.3g before each meal
Pregabalin,64, Montelukast Sodium, 0.2-0.3g before each meal
Clonazepam,35, Glyburide, 120mg before each meal
Glibenclamide,79, Clonazepam, 25-100mg once/day
Thioridazine,35, Metformin Hydrochloride, 2.5-20mg once/day with meal
Risperidone,98, Trazodone Hydrochloride, 25-500mg once/day
Enalapril,74, Acetaminophen, 10-80mg once/day
Doxycycline,55, Cetirizine Hydrochloride, 10-30mg 2-3 times/day
Carvedilol,53, Isradipine, 25-500mg once/day
Metformin,35, Metformin Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Duloxetine,80, Valsartan, 500-3000mg/day
Nifedipine,84, Duloxetine Hydrochloride, 2.5-20mg once/day with meal
Adalat,44, Glibenclamide, 10mg once/day
Alprazolam,81, Glyburide, 5-10mg once/day
Pioglitazone,30, Fluoxetine Hydrochloride, 40-60mg once/day
Paracetamol,51, Metformin Hydrochloride, 75-300mg once/day
Thioridazine,45, Aripiprazole, 2.5-20mg once/day
Valsartan,69, Donepezil Hydrochloride, 5-10mg once/day
Ramipril,72, Paliperidone, 5-10mg 2-3 times/day
Donepezil,108, Enalapril Maleate, 500mg on day 1 followed by 250mg once/day for 4 days
Verapamil,69, Amoxicillin Trihydrate, 10-30mg 2-3 times/day
Carvedilol,28, Alprazolam, 10-40mg once/day
Lamotrigine,60, Nifedipine, 10-80mg once/day
Losartan,50, Repaglinide, 10-40mg once/day
Glyburide,71, Captopril, 10-80mg once/day
Trazodone,56, Risperidone, 75-300mg once/day
Clopidogrel,70, Olanzapine, 40-60mg once/day
Enalapril,77, Duloxetine Hydrochloride, 5-10mg once/day
Alprazolam,70, Baclofen, 500-3000mg/day
Quetiapine,63, Acarbose, 0.5-2mg 2-3 times/day
Venlafaxine,63, Nisoldipine, 40mg once/day
Enalapril,24, Haloperidol, 10-40mg once/day
Benazepril,44, Metformin Hydrochloride, 25-100mg once/day
Ziprasidone,77, Amlodipine Besylate, 5-10mg once/day
Amlodipine,33, Olanzapine, 25-800mg/day
Irbesartan,73, Isradipine, 10mg once/day
Atorvastatin,28, Aripiprazole, 50-450mg 2-3 times/day
Procardia,74, Ziprasidone Hydrochloride, 5-30mg once/day
Procardia,66, Propranolol Hydrochloride, 2.5-30mg once every 2-4 weeks
Lamotrigine,37, Azithromycin, 10-80mg once/day
Lamotrigine,58, Venlafaxine Hydrochloride, 10-30mg 2-3 times/day
Montelukast,48, Verapamil Hydrochloride, 500mg on day 1 followed by 250mg once/day for 4 days
Amlodipine,79, Felodipine, 10-80mg once/day
Donepezil,34, Glimepiride, 25-100mg before each meal
Warfarin,73, Risperidone, 2.5-30mg once every 2-4 weeks
Montelukast,82, Voglibose, 12.5-25mg once/day
Diltiazem,84, Irbesartan, 250-500mg every 8 hours (up to 3g/day)
Alprazolam,18, Lercanidipine Hydrochloride, 5-10mg 2-3 times/day
Thioridazine,79, Amlodipine Besylate, 10-40mg once/day
Lercanidipine,19, Duloxetine Hydrochloride, 10-30mg 2-3 times/day
Montelukast,72, Lisinopril, 500mg on day 1 followed by 250mg once/day for 4 days
Lisinopril,27, Acetylsalicylic Acid, 6.25-50mg 2-3 times/day
Simvastatin,74, Losartan Potassium, 20-80mg once/day
Metformin,27, Fluoxetine Hydrochloride, 150-300mg once/day
Gabapentin,26, Lithium Carbonate, 120mg before each meal
Levothyroxine,27, Ramipril, 12.5-25mg once/day
Ranitidine,55, Duloxetine Hydrochloride, 12.5-25mg once/day
Miglitol,47, Aripiprazole, 0.25-2mg 2-3 times/day
Propranolol,96, Glyburide, 5-20mg once/day
Metformin,64, Captopril, 20mg once/day
Metformin,35, Metformin Hydrochloride, 0.25-2mg 2-3 times/day
Valproic Acid,61, Gabapentin, 10-80mg 2-3 times/day
Furosemide,45, Acetaminophen, 25-100mg once/day
Irbesartan,88, Lisinopril, 500mg every 4-6 hours (up to 4g/day)
Gabapentin,44, Metoprolol Tartrate, 12.5-25mg once/day
Olanzapine,36, Donepezil Hydrochloride, 1-4mg once/day
Fluphenazine,60, Valsartan, 25-100mg before each meal
Glibenclamide,56, Amlodipine Besylate, 500mg every 4-6 hours (up to 4g/day)
Aripiprazole,71, Amoxicillin Trihydrate, 500-3000mg/day
Valproic Acid,87, Azithromycin, 25-100mg once/day
Glimepiride,33, Furosemide, 10-80mg once/day
Alprazolam,60, Amlodipine Besylate, 500mg every 4-6 hours (up to 4g/day)
Glibenclamide,63, Thioridazine Hydrochloride, 5-40mg once/day
Trazodone,69, Lamotrigine, 5-10mg once/day
Diltiazem,67, Pantoprazole Sodium, 300-1200mg 3 times/day
Verapamil,63, Lercanidipine Hydrochloride, 8-32mg once/day
Chlorpromazine,45, Clopidogrel Bisulfate, 10-40mg once/day
Rosiglitazone,62, Losartan Potassium, 5-20mg once/day
Amoxicillin,58, Azithromycin, 0.5-2mg 2-3 times/day
Metoprolol,38, Enalapril Maleate, 600-1800mg/day
Lercanidipine,30, Verapamil Hydrochloride, 2.5-20mg once/day
Trazodone,74, Nisoldipine, 5-10mg once/day
Propranolol,53, Verapamil Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Duloxetine,45, Thioridazine Hydrochloride, 10-30mg 2-3 times/day
Cetirizine,42, Nateglinide, 500mg every 4-6 hours (up to 4g/day)
Clopidogrel,49, Metformin Hydrochloride, 20-80mg once/day
Amoxicillin,65, Risperidone, 37.5-225mg once/day
Paliperidone,45, Lisinopril Dihydrate, 5-40mg once/day
Olanzapine,49, Lisinopril Dihydrate, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Ziprasidone,59, Warfarin Sodium, 0.2-0.3g before each meal
Nifedipine,69, Pantoprazole Sodium, 4-8mg once/day
Benazepril,55, Warfarin Sodium, 325-650mg every 4-6 hours (up to 4g/day)
Metformin,75, Clopidogrel Bisulfate, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Procardia,69, Isradipine, 10-40mg once/day
Cetirizine,25, Gabapentin, 20-80mg once/day
Aripiprazole,74, Lisinopril, 500-2000mg/day
Diltiazem,68, Olanzapine, 75-150mg 2-3 times/day
Pioglitazone,30, Glyburide, 80-120mg 2-3 times/day
Procardia,41, Haloperidol, 2.5-10mg once/day
Ramipril,94, Lercanidipine Hydrochloride, 10-20mg once/day
Metformin,56, Warfarin Sodium, 40-320mg once/day
Nateglinide,58, Rosiglitazone Maleate, 25-1000mg/day
Baclofen,66, Doxycycline Hyclate, 5-40mg once/day
Carvedilol,58, Alprazolam, 400-600mg every 4-6 hours (up to 3.2g/day)
Amoxicillin,56, Diltiazem Hydrochloride, 2.5-20mg once/day with meal
Olanzapine,73, Glyburide, 40-60mg once/day
Glyburide,53, Quetiapine Fumarate, 37.5-225mg once/day
Glimepiride,61, Propranolol Hydrochloride, 40-320mg once/day
Enalapril,37, Cetirizine Hydrochloride, 25-100mg before each meal
Donepezil,71, Rosiglitazone Maleate, 4-8mg once/day
Alprazolam,75, Azithromycin, 600-1800mg/day
Metformin,56, Voglibose, 40mg once/day
Valproic Acid,71, Voglibose, 10-30mg 2-3 times/day
Voglibose,60, Donepezil Hydrochloride, 0.25-2mg 2-3 times/day
Lamotrigine,80, Diltiazem Hydrochloride, 0.2-0.3g before each meal
Gabapentin,34, Warfarin Sodium, 80-120mg 2-3 times/day
Thioridazine,91, Venlafaxine Hydrochloride, 25-100mg before each meal
Losartan,27, Aripiprazole, 40-160mg once/day
Duloxetine,70, Valsartan, 10mg once/day
Plendil,64, Omeprazole, 0.2-0.3g before each meal
Captopril,58, Risperidone, 8-32mg once/day
Aspirin,14, Miglitol, 6.25-50mg 2-3 times/day
Pantoprazole,34, Nisoldipine, 600-1800mg/day
Glibenclamide,67, Thioridazine Hydrochloride, 10-80mg once/day
Atorvastatin,35, Valproic Acid, 5-30mg once/day
Montelukast,79, Repaglinide, 30-120mg 2-3 times/day
Lithium Carbonate,70, Telmisartan, 500mg every 4-6 hours (up to 4g/day)
Captopril,85, Thioridazine Hydrochloride, 500mg on day 1 followed by 250mg once/day for 4 days
Nateglinide,70, Pantoprazole Sodium, 2-6mg once/day
Hydrochlorothiazide,32, Amlodipine Besylate, 10-40mg once/day
Cetirizine,43, Ramipril, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Metformin,72, Doxycycline Hyclate, 30-120mg 2-3 times/day
Thioridazine,55, Felodipine, 25-100mg before each meal
Montelukast,84, Clopidogrel Bisulfate, 500mg every 4-6 hours (up to 4g/day)
Captopril,74, Metformin Hydrochloride, 600-1800mg/day
Chlorpromazine,45, Voglibose, 1-4mg once/day
Aspirin,76, Thioridazine Hydrochloride, 5-10mg once/day
Fluoxetine,74, Repaglinide, 10-20mg once/day
Atorvastatin,65, Propranolol Hydrochloride, 1-4mg once/day
Clopidogrel,82, Olanzapine, 500mg every 4-6 hours (up to 4g/day)
Felodipine,68, Aripiprazole, 6.25-50mg 2-3 times/day
Irbesartan,59, Isradipine, 12.5-25mg once/day
Trazodone,45, Metformin Hydrochloride, 40-320mg once/day
Azithromycin,62, Lercanidipine Hydrochloride, 25-500mg once/day
Quetiapine,69, Valproic Acid, 10-80mg once/day
Furosemide,52, Ibuprofen, 25-100mg before each meal
Paracetamol,55, Acetylsalicylic Acid, 10mg once/day
Lamotrigine,65, Rosiglitazone Maleate, 6.25-50mg 2-3 times/day
Olanzapine,30, Acarbose, 10-40mg once/day
Duloxetine,51, Lamotrigine, 10mg once/day
Lisinopril,76, Lisinopril Dihydrate, 5-10mg once/day
Furosemide,52, Diltiazem Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Isradipine,56, Venlafaxine Hydrochloride, 2-6mg once/day
Diltiazem,39, Amoxicillin Trihydrate, 10-80mg once/day
Miglitol,66, Valsartan, 0.25-2mg 2-3 times/day
Lercanidipine,32, Fluoxetine Hydrochloride, 20-80mg once/day
Enalapril,20, Thioridazine Hydrochloride, 10-30mg 2-3 times/day
Glyburide,62, Ibuprofen, 1-4mg once/day
Voglibose,76, Alprazolam, 10-20mg once/day
Clopidogrel,57, Valproic Acid, 25-200mcg once/day
Quetiapine,63, Venlafaxine Hydrochloride, 5-10mg once/day
Lithium Carbonate,43, Fluphenazine Decanoate, 5-20mg once/day
Fluoxetine,59, Cetirizine Hydrochloride, 30-120mg 2-3 times/day
Donepezil,70, Valproic Acid, 10mg once/day
Repaglinide,101, Haloperidol, 400-600mg every 4-6 hours (up to 3.2g/day)
Montelukast,48, Felodipine, 40-60mg once/day
Verapamil,62, Cetirizine Hydrochloride, 600-1800mg/day
Rosiglitazone,70, Levothyroxine Sodium, 2-6mg once/day
Valsartan,69, Fluphenazine Decanoate, 10-20mg once/day
Clonazepam,41, Trazodone Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Alprazolam,72, Thioridazine Hydrochloride, 5-20mg once/day
Doxycycline,86, Repaglinide, 40mg once/day
Felodipine,43, Amlodipine Besylate, 2.5-20mg once/day with meal
Haloperidol,49, Nisoldipine, 5-10mg once/day
Carvedilol,49, Candesartan Cilexetil, 325-650mg every 4-6 hours (up to 4g/day)
Telmisartan,37, Baclofen, 300-1200mg 3 times/day
Valsartan,63, Acetaminophen, 20-80mg once/day
Metformin,30, Benazepril Hydrochloride, 40mg once/day
Glibenclamide,45, Losartan Potassium, 10mg once/day
Rosiglitazone,91, Amlodipine Besylate, 20-80mg once/day
Amlodipine,66, Amlodipine Besylate, 25-500mg once/day
Cetirizine,84, Venlafaxine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Propranolol,50, Irbesartan, 500mg every 4-6 hours (up to 4g/day)
Plendil,82, Valsartan, 40-160mg once/day
Amlodipine,34, Nifedipine, 10-80mg 2-3 times/day
Ziprasidone,53, Cetirizine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Doxycycline,53, Acarbose, 10-80mg 2-3 times/day
Propranolol,66, Amoxicillin Trihydrate, 500mg every 4-6 hours (up to 4g/day)
Verapamil,47, Lisinopril Dihydrate, 1-4mg once/day
Amoxicillin,96, Lamotrigine, 10-20mg once/day
Duloxetine,65, Metformin Hydrochloride, 10-40mg once/day
Hydrochlorothiazide,50, Risperidone, 80-120mg 2-3 times/day
Captopril,68, Doxycycline Hyclate, 40-160mg once/day
Enalapril,72, Risperidone, 2.5-10mg once/day
Trazodone,52, Atorvastatin Calcium, 5-40mg once/day
Gabapentin,40, Valsartan, 600-1800mg/day
Glibenclamide,59, Doxycycline Hyclate, 2.5-20mg once/day
Lisinopril,49, Azithromycin, 30-120mg 2-3 times/day
Fluoxetine,78, Gabapentin, 25-800mg once/day
Gabapentin,52, Metoprolol Tartrate, 5-20mg once/day
Trazodone,59, Enalapril Maleate, 500mg every 4-6 hours (up to 4g/day)
Duloxetine,59, Hydrochlorothiazide, 25-100mg once/day
Ranitidine,31, Paliperidone, 10-40mg once/day
Metformin,53, Telmisartan, 25-200mcg once/day
Isradipine,69, Glimepiride, 40-320mg 2-3 times/day
Aspirin,20, Enalapril Maleate, 0.2-0.3g before each meal
Isradipine,58, Isradipine, 25-800mg/day
Clopidogrel,72, Metoprolol Tartrate, 8-32mg once/day
Losartan,48, Azithromycin, 10-40mg once/day
Metformin,54, Fluphenazine Decanoate, 250-500mg every 8 hours (up to 3g/day)
Adalat,50, Rosiglitazone Maleate, 500mg on day 1 followed by 250mg once/day for 4 days
Repaglinide,28, Amoxicillin Trihydrate, 5-10mg once/day
Nateglinide,59, Amlodipine Besylate, 0.5-4mg before each meal
Metoprolol,38, Benazepril Hydrochloride, 20-80mg once/day
Fluphenazine,73, Nisoldipine, 600-1800mg/day
Clopidogrel,70, Carvedilol, 4-8mg once/day
Fluoxetine,90, Thioridazine Hydrochloride, 25-500mg once/day
Candesartan,90, Venlafaxine Hydrochloride, 25-800mg/day
Donepezil,73, Valsartan, 10-30mg 2-3 times/day
Repaglinide,35, Captopril, 25-100mg once/day
Fluphenazine,55, Nifedipine, 5-10mg once/day
Lercanidipine,59, Gabapentin, 10-80mg once/day
Thioridazine,53, Ramipril, 5-20mg once/day
Procardia,100, Candesartan Cilexetil, 25-500mg once/day
Diltiazem,65, Baclofen, 75mg once/day
Isradipine,58, Ramipril, 30-120mg 2-3 times/day
Diltiazem,55, Pioglitazone Hydrochloride, 75mg once/day
Lamotrigine,75, Lithium Carbonate, 25-100mg before each meal
Simvastatin,61, Lisinopril, 5-10mg once/day
Duloxetine,53, Voglibose, 10mg once/day
Amlodipine,44, Captopril, 25-100mg once/day
Acarbose,58, Valproic Acid, 100mg every 12 hours (up to 200mg/day)
Warfarin,72, Valproic Acid, 250-500mg every 8 hours (up to 3g/day)
Trazodone,88, Ziprasidone Hydrochloride, 25-500mg once/day
Venlafaxine,81, Ranitidine Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Enalapril,59, Acarbose, 1-4mg once/day
Propranolol,67, Acetaminophen, 40-160mg once/day
Levothyroxine,54, Enalapril Maleate, 500mg on day 1 followed by 250mg once/day for 4 days
Warfarin,102, Captopril, 25-800mg/day
Voglibose,66, Losartan Potassium, 75-300mg once/day
Lisinopril,42, Ramipril, 10-30mg 2-3 times/day
Alprazolam,82, Alprazolam, 20mg once/day
Thioridazine,47, Duloxetine Hydrochloride, 2-6mg once/day
Venlafaxine,43, Carvedilol, 325-650mg every 4-6 hours (up to 4g/day)
Clopidogrel,30, Glyburide, 10-30mg 2-3 times/day
Azithromycin,73, Fluoxetine Hydrochloride, 1-4mg once/day
Amoxicillin,78, Donepezil Hydrochloride, 40-320mg once/day
Risperidone,50, Haloperidol, 400-600mg every 4-6 hours (up to 3.2g/day)
Baclofen,67, Lercanidipine Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Glibenclamide,60, Donepezil Hydrochloride, 0.2-0.3g before each meal
Donepezil,62, Benazepril Hydrochloride, 20-80mg once/day
Metformin,38, Enalapril Maleate, 40-160mg once/day
Procardia,72, Ranitidine Hydrochloride, 0.5-4mg before each meal
Amoxicillin,18, Ranitidine Hydrochloride, 600-1800mg/day
Glibenclamide,30, Propranolol Hydrochloride, 75-300mg once/day
Ramipril,38, Doxycycline Hyclate, 300-1200mg 3 times/day
Haloperidol,55, Donepezil Hydrochloride, 10mg once/day
Propranolol,53, Ibuprofen, 30-120mg 2-3 times/day
Irbesartan,68, Gabapentin, 2.5-20mg once/day
Benazepril,57, Thioridazine Hydrochloride, 10mg once/day
Lercanidipine,52, Duloxetine Hydrochloride, 600-1800mg/day
Pantoprazole,62, Nifedipine, 5-10mg 2-3 times/day
Lithium Carbonate,75, Montelukast Sodium, 40-160mg once/day
Ramipril,50, Ranitidine Hydrochloride, 150-300mg 2-3 times/day
Haloperidol,40, Lamotrigine, 10-30mg 2-3 times/day
Glibenclamide,58, Carvedilol, 1-100mg/day
Felodipine,64, Pantoprazole Sodium, 15-45mg once/day
Cetirizine,46, Glyburide, 120mg before each meal
Diltiazem,89, Clopidogrel Bisulfate, 5-10mg once/day
Propranolol,84, Carvedilol, 37.5-225mg once/day
Benazepril,69, Lamotrigine, 75mg once/day
Duloxetine,48, Glimepiride, 400-600mg every 4-6 hours (up to 3.2g/day)
Cetirizine,67, Acetaminophen, 10mg once/day
Plendil,35, Cetirizine Hydrochloride, 1-4mg once/day
Azithromycin,51, Nateglinide, 40-160mg once/day
Ranitidine,70, Azithromycin, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
